City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
0,manokwari,85.19,65,51,9.37,1727848918,ID,134.0833,-0.8667
1,strelka,45.79,71,73,12.19,1727848919,RU,93.0344,58.0728
2,hermanus,55.8,72,96,15.17,1727848919,ZA,19.2345,-34.4187
3,acarau,77.16,82,51,13.91,1727848919,BR,-40.12,-2.8856
4,college,36.45,74,16,3.65,1727848919,US,-147.8028,64.8569
5,hammerfest,39.65,81,40,12.66,1727848919,NO,23.6821,70.6634
6,edinburgh of the seven seas,56.77,88,38,26.28,1727848919,SH,-12.3116,-37.0676
7,grytviken,20.55,79,43,11.27,1727848919,GS,-36.5092,-54.2811
8,punta arenas,37.51,70,0,11.5,1727848825,CL,-70.9167,-53.15
9,port-aux-francais,37.67,79,100,16.8,1727848919,TF,70.2167,-49.35
10,rapid city,65.55,18,0,8.05,1727848759,US,-103.231,44.0805
11,waitangi,53.82,82,100,7.0,1727848920,NZ,-176.5597,-43.9535
12,arraial do cabo,72.32,85,5,30.09,1727848920,BR,-42.0278,-22.9661
13,puerto natales,33.89,95,95,5.23,1727848920,CL,-72.4875,-51.7236
14,ushuaia,31.66,51,0,6.91,1727848808,AR,-68.3,-54.8
15,olonkinbyen,31.41,72,95,12.62,1727848920,SJ,-8.7187,70.9221
16,bethel,55.72,83,88,4.72,1727848920,US,-73.414,41.3712
17,goundam,84.69,58,84,6.67,1727848920,ML,-3.6708,16.4145
18,porto cristo,67.78,88,39,6.33,1727848920,ES,3.333,39.5395
19,ancud,44.82,81,64,8.66,1727848797,CL,-73.8203,-41.8697
20,booue,73.85,97,98,2.01,1727848921,GA,11.9385,-0.0921
21,kavaratti,82.96,77,64,8.9,1727848921,IN,72.642,10.5669
22,kiruna,29.32,86,20,4.61,1727848922,SE,20.2251,67.8557
23,isafjordur,40.42,96,100,6.78,1727848922,IS,-23.124,66.0755
24,papatowai,45.43,94,100,13.62,1727848922,NZ,169.4708,-46.5619
25,hawaiian paradise park,72.81,98,60,1.01,1727848922,US,-154.9731,19.5933
26,pisco,62.65,82,99,8.05,1727848922,PE,-76.2167,-13.7
27,ilulissat,39.22,56,100,18.41,1727848922,GL,-51.1,69.2167
28,cold lake,42.75,87,75,4.61,1727848811,CA,-110.2017,54.4502
29,kedrovyy,47.1,47,59,11.45,1727848922,RU,91.8167,56.1667
30,quellon,43.18,93,100,7.27,1727848923,CL,-73.6167,-43.1167
31,juneau,39.2,100,75,0.0,1727848625,US,-134.4197,58.3019
32,mount isa,94.77,10,0,5.75,1727848923,AU,139.5,-20.7333
33,alice springs,83.75,14,0,11.5,1727848877,AU,133.8833,-23.7
34,kingston,81.55,83,20,5.75,1727848916,JM,-76.7936,17.997
35,kandahar,87.15,16,0,11.12,1727848924,AF,65.75,31.0
36,udachny,32.77,95,100,14.12,1727848924,RU,112.4,66.4167
37,luderitz,63.5,38,0,8.34,1727848924,NA,15.1594,-26.6481
38,kolokani,74.75,83,94,3.65,1727848924,ML,-8.0339,13.5728
39,adamstown,68.38,67,100,10.18,1727848924,PN,-130.1015,-25.066
40,tolanaro,71.67,94,75,13.8,1727848924,MG,46.9987,-25.0319
41,saint-pierre,78.48,53,100,5.75,1727848870,RE,55.4781,-21.3393
42,saint-junien,50.58,99,89,1.59,1727848924,FR,0.9,45.8833
43,nikolayevsk-on-amure,48.47,59,38,7.63,1727848924,RU,140.73,53.1406
44,jamestown,61.02,93,100,5.75,1727848748,US,-79.2353,42.097
45,kasangulu,75.61,75,75,6.26,1727848925,CD,15.1708,-4.5911
46,mount gambier,64.74,51,0,8.05,1727848925,AU,140.7667,-37.8333
47,blackmans bay,56.52,55,0,5.75,1727848925,AU,147.3167,-43.0167
48,kirensk,43.5,67,94,8.77,1727848925,RU,108.1119,57.7853
49,ciudad lazaro cardenas,77.16,92,96,3.96,1727848634,MX,-102.2,17.9583
50,brookings,53.92,42,0,14.97,1727848925,US,-96.7984,44.3114
51,anadyr,41.0,86,100,22.37,1727848925,RU,177.4833,64.75
52,aldan,39.61,88,100,13.76,1727848925,RU,125.3894,58.6031
53,oum hadjer,81.1,59,92,11.72,1727848925,TD,19.6966,13.2954
54,kerikeri,61.92,93,100,10.0,1727848926,NZ,173.9474,-35.2268
55,libenge,71.64,98,100,1.05,1727848926,CD,18.6333,3.65
56,opuwo,70.36,18,4,8.52,1727848926,NA,13.84,-18.0607
57,chongjin,61.66,35,1,9.95,1727848926,KP,129.7758,41.7956
58,verkhnevilyuysk,37.18,97,100,7.47,1727848926,RU,120.3167,63.4453
59,lompoc,57.09,100,0,0.0,1727848744,US,-120.4579,34.6391
60,qaqortoq,37.15,74,26,3.8,1727848926,GL,-46.0333,60.7167
61,teknaf,78.55,93,100,2.33,1727848926,BD,92.3058,20.8624
62,lebu,41.72,79,5,13.53,1727848891,CL,-73.65,-37.6167
63,ocean city,65.86,85,85,8.01,1727848926,US,-74.5746,39.2776
